Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,CTR,CPC,SQL_format
81,Innovate Industries,Influencer,Women 35-44,60 days,Google Ads,0.14,19300,7.62,Miami,Mandarin,159,3643,1,Outdoor Adventurers,22-03-2021,7.41%,13.31,"(81,'Innovate Industries','Influencer','Women 35-44','60 days','Google Ads',0.14,19300,7.62,'Miami','Mandarin',159,3643,1,'Outdoor Adventurers','2021-03-22',0.0741374107232673,13.314789687924)"
82,NexGen Systems,Social Media,Women 25-34,45 days,YouTube,0.12,17772,6.33,New York,English,913,1921,5,Foodies,23-03-2021,4.36%,121.38,"(82,'NexGen Systems','Social Media','Women 25-34','45 days','YouTube',0.12,17772,6.33,'New York','English',913,1921,5,'Foodies','2021-03-23',0.0436453472412847,121.383647798742)"
83,Innovate Industries,Influencer,Women 25-34,60 days,Facebook,0.1,17293,3.74,Houston,Spanish,238,8969,6,Outdoor Adventurers,24-03-2021,47.53%,19.47,"(83,'Innovate Industries','Influencer','Women 25-34','60 days','Facebook',0.1,17293,3.74,'Houston','Spanish',238,8969,6,'Outdoor Adventurers','2021-03-24',0.475273295158771,19.4654983570646)"
84,NexGen Systems,Search,All Ages,60 days,YouTube,0.08,8398,3.99,Miami,English,134,3108,1,Health & Wellness,25-03-2021,2.65%,72.66,"(84,'NexGen Systems','Search','All Ages','60 days','YouTube',0.08,8398,3.99,'Miami','English',134,3108,1,'Health & Wellness','2021-03-25',0.0265358456907125,72.6596638655462)"
85,Alpha Innovations,Influencer,Women 35-44,60 days,Email,0.15,15866,2.3,Houston,French,159,2139,10,Health & Wellness,26-03-2021,4.31%,62.67,"(85,'Alpha Innovations','Influencer','Women 35-44','60 days','Email',0.15,15866,2.3,'Houston','French',159,2139,10,'Health & Wellness','2021-03-26',0.0431145431145431,62.6716417910448)"
86,TechCorp,Social Media,All Ages,30 days,YouTube,0.13,7515,7.38,Houston,Mandarin,635,8489,3,Foodies,27-03-2021,7.43%,99.79,"(86,'TechCorp','Social Media','All Ages','30 days','YouTube',0.13,7515,7.38,'Houston','Mandarin',635,8489,3,'Foodies','2021-03-27',0.0743338008415147,99.7861635220126)"
87,DataTech Solutions,Email,Women 25-34,15 days,YouTube,0.15,19026,2.22,Miami,Mandarin,187,2573,10,Fashionistas,28-03-2021,7.48%,11.83,"(87,'DataTech Solutions','Email','Women 25-34','15 days','YouTube',0.15,19026,2.22,'Miami','Mandarin',187,2573,10,'Fashionistas','2021-03-28',0.0748026858287195,11.8346456692913)"
88,TechCorp,Search,Men 18-24,60 days,Facebook,0.14,8280,7.89,New York,German,537,3042,1,Outdoor Adventurers,29-03-2021,7.27%,101.74,"(88,'TechCorp','Search','Men 18-24','60 days','Facebook',0.14,8280,7.89,'New York','German',537,3042,1,'Outdoor Adventurers','2021-03-29',0.0726778080062184,101.743315508021)"
89,Alpha Innovations,Display,Women 25-34,30 days,Google Ads,0.1,18251,4.41,New York,Spanish,597,8117,6,Tech Enthusiasts,30-03-2021,17.65%,15.42,"(89,'Alpha Innovations','Display','Women 25-34','30 days','Google Ads',0.1,18251,4.41,'New York','Spanish',597,8117,6,'Tech Enthusiasts','2021-03-30',0.176528599605523,15.4189944134078)"
90,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,13108,2.01,Houston,German,550,3839,7,Tech Enthusiasts,31-03-2021,7.35%,30.57,"(90,'DataTech Solutions','Display','All Ages','15 days','Instagram',0.07,13108,2.01,'Houston','German',550,3839,7,'Tech Enthusiasts','2021-03-31',0.0735493408894912,30.571189279732)"
91,NexGen Systems,Influencer,Women 35-44,15 days,YouTube,0.09,15477,6.98,Houston,English,956,9087,3,Foodies,01-04-2021,14.33%,23.83,"(91,'NexGen Systems','Influencer','Women 35-44','15 days','YouTube',0.09,15477,6.98,'Houston','English',956,9087,3,'Foodies','2021-04-01',0.143266475644699,23.8327272727273)"
92,TechCorp,Email,Men 25-34,45 days,Email,0.09,17705,7,New York,Spanish,628,9545,4,Outdoor Adventurers,02-04-2021,10.52%,16.19,"(92,'TechCorp','Email','Men 25-34','45 days','Email',0.09,17705,7,'New York','Spanish',628,9545,4,'Outdoor Adventurers','2021-04-02',0.105205238252449,16.1893305439331)"
93,Innovate Industries,Display,Women 35-44,15 days,Instagram,0.05,18470,2.57,Chicago,English,938,7879,10,Fashionistas,03-04-2021,6.58%,28.19,"(93,'Innovate Industries','Display','Women 35-44','15 days','Instagram',0.05,18470,2.57,'Chicago','English',938,7879,10,'Fashionistas','2021-04-03',0.0657936092194866,28.1926751592357)"
94,NexGen Systems,Display,Men 25-34,45 days,Instagram,0.01,14438,7.19,New York,French,147,6497,10,Health & Wellness,04-04-2021,11.91%,19.69,"(94,'NexGen Systems','Display','Men 25-34','45 days','Instagram',0.01,14438,7.19,'New York','French',147,6497,10,'Health & Wellness','2021-04-04',0.119050640944282,19.6908315565032)"
95,NexGen Systems,Search,Men 18-24,45 days,Facebook,0.08,6278,4.93,Miami,German,776,4289,8,Foodies,05-04-2021,2.26%,98.22,"(95,'NexGen Systems','Search','Men 18-24','45 days','Facebook',0.08,6278,4.93,'Miami','German',776,4289,8,'Foodies','2021-04-05',0.02262582730491,98.2176870748299)"
96,TechCorp,Social Media,All Ages,15 days,Email,0.08,5185,4.61,New York,French,108,9532,1,Tech Enthusiasts,06-04-2021,18.09%,8.09,"(96,'TechCorp','Social Media','All Ages','15 days','Email',0.08,5185,4.61,'New York','French',108,9532,1,'Tech Enthusiasts','2021-04-06',0.18092795523432,8.09020618556701)"
97,Innovate Industries,Email,Women 25-34,15 days,Instagram,0.14,18799,3.69,Miami,French,395,6079,8,Health & Wellness,07-04-2021,1.13%,48.01,"(97,'Innovate Industries','Email','Women 25-34','15 days','Instagram',0.14,18799,3.69,'Miami','French',395,6079,8,'Health & Wellness','2021-04-07',0.0113302559798573,48.0092592592593)"
98,Alpha Innovations,Search,All Ages,60 days,Facebook,0.04,7365,7.96,New York,French,419,4484,1,Fashionistas,08-04-2021,6.50%,47.59,"(98,'Alpha Innovations','Search','All Ages','60 days','Facebook',0.04,7365,7.96,'New York','French',419,4484,1,'Fashionistas','2021-04-08',0.0649777924000658,47.5924050632911)"
99,Alpha Innovations,Search,All Ages,60 days,Instagram,0.02,6565,3.12,New York,French,463,6061,8,Foodies,09-04-2021,9.34%,17.58,"(99,'Alpha Innovations','Search','All Ages','60 days','Instagram',0.02,6565,3.12,'New York','French',463,6061,8,'Foodies','2021-04-09',0.0934433541480821,17.5775656324582)"
100,TechCorp,Display,All Ages,60 days,Facebook,0.09,9022,5.58,Miami,Spanish,521,2572,4,Tech Enthusiasts,10-04-2021,7.64%,14.18,"(100,'TechCorp','Display','All Ages','60 days','Facebook',0.09,9022,5.58,'Miami','Spanish',521,2572,4,'Tech Enthusiasts','2021-04-10',0.0763900346477479,14.1792656587473)"
101,NexGen Systems,Search,Men 25-34,45 days,YouTube,0.07,18735,4.86,Los Angeles,Spanish,706,8715,6,Foodies,11-04-2021,20.26%,17.32,"(101,'NexGen Systems','Search','Men 25-34','45 days','YouTube',0.07,18735,4.86,'Los Angeles','Spanish',706,8715,6,'Foodies','2021-04-11',0.202566096423017,17.3166986564299)"
102,TechCorp,Search,Men 18-24,45 days,YouTube,0.09,9941,4.54,Chicago,English,207,8334,4,Tech Enthusiasts,12-04-2021,8.10%,26.54,"(102,'TechCorp','Search','Men 18-24','45 days','YouTube',0.09,9941,4.54,'Chicago','English',207,8334,4,'Tech Enthusiasts','2021-04-12',0.0810097532989099,26.5368271954674)"
103,DataTech Solutions,Influencer,Men 18-24,60 days,Website,0.08,10113,6.87,Houston,English,583,1005,3,Health & Wellness,13-04-2021,2.48%,48.02,"(103,'DataTech Solutions','Influencer','Men 18-24','60 days','Website',0.08,10113,6.87,'Houston','English',583,1005,3,'Health & Wellness','2021-04-13',0.0248380129589633,48.024154589372)"
104,DataTech Solutions,Social Media,Men 18-24,15 days,Facebook,0.1,8310,7.17,Chicago,Spanish,864,6841,3,Tech Enthusiasts,14-04-2021,58.01%,17.35,"(104,'DataTech Solutions','Social Media','Men 18-24','15 days','Facebook',0.1,8310,7.17,'Chicago','Spanish',864,6841,3,'Tech Enthusiasts','2021-04-14',0.580099502487562,17.3464837049743)"
105,DataTech Solutions,Influencer,Men 18-24,30 days,Google Ads,0.06,15073,2.17,Los Angeles,English,387,8035,2,Health & Wellness,15-04-2021,12.63%,9.62,"(105,'DataTech Solutions','Influencer','Men 18-24','30 days','Google Ads',0.06,15073,2.17,'Los Angeles','English',387,8035,2,'Health & Wellness','2021-04-15',0.126297324952492,9.61805555555556)"
106,Innovate Industries,Social Media,Women 25-34,30 days,Email,0.09,7541,3.35,Chicago,Spanish,560,3439,7,Fashionistas,16-04-2021,4.82%,38.95,"(106,'Innovate Industries','Social Media','Women 25-34','30 days','Email',0.09,7541,3.35,'Chicago','Spanish',560,3439,7,'Fashionistas','2021-04-16',0.0481642812694462,38.9483204134367)"
107,TechCorp,Influencer,Men 25-34,45 days,Google Ads,0.11,14875,6.5,New York,German,306,1560,3,Health & Wellness,17-04-2021,16.28%,13.47,"(107,'TechCorp','Influencer','Men 25-34','45 days','Google Ads',0.11,14875,6.5,'New York','German',306,1560,3,'Health & Wellness','2021-04-17',0.1628380343123,13.4660714285714)"
108,TechCorp,Email,All Ages,45 days,Email,0.06,5514,7.32,Miami,German,740,4550,1,Outdoor Adventurers,18-04-2021,19.62%,48.61,"(108,'TechCorp','Email','All Ages','45 days','Email',0.06,5514,7.32,'Miami','German',740,4550,1,'Outdoor Adventurers','2021-04-18',0.196153846153846,48.6111111111111)"
109,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.05,15107,4.79,Houston,Spanish,115,1475,10,Fashionistas,19-04-2021,16.26%,7.45,"(109,'Innovate Industries','Search','Men 25-34','30 days','Instagram',0.05,15107,4.79,'Houston','Spanish',115,1475,10,'Fashionistas','2021-04-19',0.162637362637363,7.45135135135135)"
110,Innovate Industries,Social Media,Women 25-34,15 days,YouTube,0.1,13712,6.4,Chicago,English,366,3843,3,Fashionistas,20-04-2021,7.80%,131.37,"(110,'Innovate Industries','Social Media','Women 25-34','15 days','YouTube',0.1,13712,6.4,'Chicago','English',366,3843,3,'Fashionistas','2021-04-20',0.0779661016949153,131.365217391304)"
111,Alpha Innovations,Influencer,All Ages,60 days,Facebook,0.05,11789,5.39,Houston,German,659,3670,9,Outdoor Adventurers,21-04-2021,9.52%,37.46,"(111,'Alpha Innovations','Influencer','All Ages','60 days','Facebook',0.05,11789,5.39,'Houston','German',659,3670,9,'Outdoor Adventurers','2021-04-21',0.0952380952380952,37.4644808743169)"
112,DataTech Solutions,Email,All Ages,30 days,Website,0.13,18335,7.58,Los Angeles,Mandarin,552,3464,5,Health & Wellness,22-04-2021,17.96%,17.89,"(112,'DataTech Solutions','Email','All Ages','30 days','Website',0.13,18335,7.58,'Los Angeles','Mandarin',552,3464,5,'Health & Wellness','2021-04-22',0.179564032697548,17.8892261001517)"
113,TechCorp,Display,Women 35-44,30 days,Google Ads,0.02,19035,2.01,Miami,Mandarin,560,6945,7,Health & Wellness,23-04-2021,15.94%,33.22,"(113,'TechCorp','Display','Women 35-44','30 days','Google Ads',0.02,19035,2.01,'Miami','Mandarin',560,6945,7,'Health & Wellness','2021-04-23',0.159353348729792,33.2155797101449)"
114,DataTech Solutions,Email,Women 25-34,15 days,YouTube,0.11,17655,4.04,Los Angeles,English,369,8912,4,Health & Wellness,24-04-2021,8.06%,33.99,"(114,'DataTech Solutions','Email','Women 25-34','15 days','YouTube',0.11,17655,4.04,'Los Angeles','English',369,8912,4,'Health & Wellness','2021-04-24',0.0806335493160547,33.9910714285714)"
115,NexGen Systems,Email,Women 25-34,45 days,Google Ads,0.11,6710,2.72,Houston,German,886,6158,7,Fashionistas,25-04-2021,4.14%,47.85,"(115,'NexGen Systems','Email','Women 25-34','45 days','Google Ads',0.11,6710,2.72,'Houston','German',886,6158,7,'Fashionistas','2021-04-25',0.0414048473967684,47.8455284552846)"
116,NexGen Systems,Social Media,Women 25-34,15 days,Facebook,0.09,9899,3.7,Los Angeles,German,447,4878,8,Tech Enthusiasts,26-04-2021,14.39%,7.57,"(116,'NexGen Systems','Social Media','Women 25-34','15 days','Facebook',0.09,9899,3.7,'Los Angeles','German',447,4878,8,'Tech Enthusiasts','2021-04-26',0.14387788242936,7.57336343115124)"
117,Innovate Industries,Email,All Ages,30 days,Instagram,0.14,7032,7.86,Chicago,Spanish,595,1555,4,Health & Wellness,27-04-2021,9.16%,22.15,"(117,'Innovate Industries','Email','All Ages','30 days','Instagram',0.14,7032,7.86,'Chicago','Spanish',595,1555,4,'Health & Wellness','2021-04-27',0.0916359163591636,22.1454138702461)"
118,TechCorp,Social Media,All Ages,45 days,Website,0.05,5174,4.98,Houston,German,438,9741,1,Tech Enthusiasts,28-04-2021,38.26%,11.82,"(118,'TechCorp','Social Media','All Ages','45 days','Website',0.05,5174,4.98,'Houston','German',438,9741,1,'Tech Enthusiasts','2021-04-28',0.382636655948553,11.818487394958)"
119,Innovate Industries,Display,Women 35-44,15 days,YouTube,0.14,15679,3.71,Los Angeles,German,652,3884,7,Foodies,29-04-2021,4.50%,11.81,"(119,'Innovate Industries','Display','Women 35-44','15 days','YouTube',0.14,15679,3.71,'Los Angeles','German',652,3884,7,'Foodies','2021-04-29',0.0449645826917154,11.8127853881279)"
120,NexGen Systems,Display,All Ages,45 days,YouTube,0.07,12143,7.65,Miami,Mandarin,802,8897,10,Tech Enthusiasts,30-04-2021,16.79%,24.05,"(120,'NexGen Systems','Display','All Ages','45 days','YouTube',0.07,12143,7.65,'Miami','Mandarin',802,8897,10,'Tech Enthusiasts','2021-04-30',0.167868177136972,24.0475460122699)"
121,Innovate Industries,Email,Women 35-44,45 days,Facebook,0.02,19329,7.58,Houston,English,841,4536,8,Outdoor Adventurers,01-05-2021,9.01%,15.14,"(121,'Innovate Industries','Email','Women 35-44','45 days','Facebook',0.02,19329,7.58,'Houston','English',841,4536,8,'Outdoor Adventurers','2021-05-01',0.0901427447454198,15.140897755611)"
122,Innovate Industries,Search,All Ages,60 days,Email,0.09,8854,6.78,Chicago,German,137,4002,6,Tech Enthusiasts,02-05-2021,18.54%,22.98,"(122,'Innovate Industries','Search','All Ages','60 days','Email',0.09,8854,6.78,'Chicago','German',137,4002,6,'Tech Enthusiasts','2021-05-02',0.185405643738977,22.9833531510107)"
123,Alpha Innovations,Influencer,Women 35-44,45 days,YouTube,0.04,5232,7.61,New York,German,850,6515,5,Foodies,03-05-2021,3.42%,64.63,"(123,'Alpha Innovations','Influencer','Women 35-44','45 days','YouTube',0.04,5232,7.61,'New York','German',850,6515,5,'Foodies','2021-05-03',0.0342328835582209,64.6277372262774)"
124,NexGen Systems,Display,Men 25-34,30 days,Instagram,0.02,13006,3.7,Chicago,Spanish,727,2863,1,Fashionistas,04-05-2021,13.05%,6.16,"(124,'NexGen Systems','Display','Men 25-34','30 days','Instagram',0.02,13006,3.7,'Chicago','Spanish',727,2863,1,'Fashionistas','2021-05-04',0.130468150422103,6.15529411764706)"
125,DataTech Solutions,Email,Men 18-24,45 days,Website,0.13,5653,6.08,Chicago,Mandarin,986,4477,10,Foodies,05-05-2021,25.39%,17.89,"(125,'DataTech Solutions','Email','Men 18-24','45 days','Website',0.13,5653,6.08,'Chicago','Mandarin',986,4477,10,'Foodies','2021-05-05',0.253929444638491,17.8899587345254)"
126,DataTech Solutions,Email,Men 25-34,45 days,Google Ads,0.02,18169,5.5,Miami,English,259,3941,7,Outdoor Adventurers,06-05-2021,22.02%,5.73,"(126,'DataTech Solutions','Email','Men 25-34','45 days','Google Ads',0.02,18169,5.5,'Miami','English',259,3941,7,'Outdoor Adventurers','2021-05-06',0.220236765691311,5.73326572008114)"
127,DataTech Solutions,Social Media,Men 25-34,45 days,Email,0.08,13316,6.15,Los Angeles,Spanish,321,7186,2,Fashionistas,07-05-2021,6.57%,70.15,"(127,'DataTech Solutions','Social Media','Men 25-34','45 days','Email',0.08,13316,6.15,'Los Angeles','Spanish',321,7186,2,'Fashionistas','2021-05-07',0.0657193605683837,70.1505791505791)"
128,NexGen Systems,Email,All Ages,15 days,Email,0.08,17847,6.68,Houston,Spanish,942,9066,3,Outdoor Adventurers,08-05-2021,4.47%,41.48,"(128,'NexGen Systems','Email','All Ages','15 days','Email',0.08,17847,6.68,'Houston','Spanish',942,9066,3,'Outdoor Adventurers','2021-05-08',0.0446701920400779,41.4828660436137)"
129,Alpha Innovations,Email,Men 18-24,45 days,Instagram,0.06,10639,4.32,New York,Spanish,166,5735,10,Health & Wellness,09-05-2021,10.39%,18.95,"(129,'Alpha Innovations','Email','Men 18-24','45 days','Instagram',0.06,10639,4.32,'New York','Spanish',166,5735,10,'Health & Wellness','2021-05-09',0.103904698874917,18.9458598726115)"
130,Innovate Industries,Display,Men 25-34,15 days,YouTube,0.03,10945,3.16,Chicago,Spanish,508,8054,6,Fashionistas,10-05-2021,2.89%,64.09,"(130,'Innovate Industries','Display','Men 25-34','15 days','YouTube',0.03,10945,3.16,'Chicago','Spanish',508,8054,6,'Fashionistas','2021-05-10',0.0289450741063644,64.0903614457831)"
131,NexGen Systems,Email,Men 18-24,15 days,Instagram,0.11,5167,6.63,New York,Spanish,885,1932,7,Fashionistas,11-05-2021,6.31%,21.55,"(131,'NexGen Systems','Email','Men 18-24','15 days','Instagram',0.11,5167,6.63,'New York','Spanish',885,1932,7,'Fashionistas','2021-05-11',0.0630742488204619,21.5452755905512)"
132,DataTech Solutions,Influencer,Men 25-34,60 days,Google Ads,0.15,8300,6.65,Chicago,Spanish,158,4842,4,Outdoor Adventurers,12-05-2021,45.81%,5.84,"(132,'DataTech Solutions','Influencer','Men 25-34','60 days','Google Ads',0.15,8300,6.65,'Chicago','Spanish',158,4842,4,'Outdoor Adventurers','2021-05-12',0.458074534161491,5.83841807909605)"
133,Innovate Industries,Social Media,Men 25-34,15 days,Instagram,0.14,13469,7.54,Houston,German,857,4028,8,Fashionistas,13-05-2021,3.26%,52.53,"(133,'Innovate Industries','Social Media','Men 25-34','15 days','Instagram',0.14,13469,7.54,'Houston','German',857,4028,8,'Fashionistas','2021-05-13',0.0326311441553077,52.5316455696203)"
134,TechCorp,Search,Men 25-34,30 days,Facebook,0.1,19254,2.41,Miami,English,481,1876,7,Foodies,14-05-2021,21.28%,15.72,"(134,'TechCorp','Search','Men 25-34','30 days','Facebook',0.1,19254,2.41,'Miami','English',481,1876,7,'Foodies','2021-05-14',0.212760675273088,15.7164527421237)"
135,DataTech Solutions,Display,All Ages,60 days,Google Ads,0.04,10704,6.46,Chicago,French,999,7543,8,Tech Enthusiasts,15-05-2021,25.64%,40.03,"(135,'DataTech Solutions','Display','All Ages','60 days','Google Ads',0.04,10704,6.46,'Chicago','French',999,7543,8,'Tech Enthusiasts','2021-05-15',0.256396588486141,40.029106029106)"
136,NexGen Systems,Email,Men 18-24,30 days,Email,0.15,9229,3.56,New York,Spanish,939,5999,8,Tech Enthusiasts,16-05-2021,13.24%,10.71,"(136,'NexGen Systems','Email','Men 18-24','30 days','Email',0.15,9229,3.56,'New York','Spanish',939,5999,8,'Tech Enthusiasts','2021-05-16',0.132440673472093,10.7147147147147)"
137,Alpha Innovations,Social Media,Women 35-44,60 days,Instagram,0.1,14125,4.9,Houston,Spanish,885,7833,5,Fashionistas,17-05-2021,15.65%,9.83,"(137,'Alpha Innovations','Social Media','Women 35-44','60 days','Instagram',0.1,14125,4.9,'Houston','Spanish',885,7833,5,'Fashionistas','2021-05-17',0.15652608768128,9.82854100106496)"
138,DataTech Solutions,Influencer,All Ages,60 days,Instagram,0.04,8222,6.17,Houston,Mandarin,666,1435,4,Foodies,18-05-2021,11.30%,15.96,"(138,'DataTech Solutions','Influencer','All Ages','60 days','Instagram',0.04,8222,6.17,'Houston','Mandarin',666,1435,4,'Foodies','2021-05-18',0.112983531214094,15.9604519774011)"
139,NexGen Systems,Email,Men 18-24,45 days,Website,0.07,14226,3.77,Chicago,German,359,9440,8,Outdoor Adventurers,19-05-2021,46.41%,12.35,"(139,'NexGen Systems','Email','Men 18-24','45 days','Website',0.07,14226,3.77,'Chicago','German',359,9440,8,'Outdoor Adventurers','2021-05-19',0.46411149825784,12.3453453453453)"
140,DataTech Solutions,Email,Men 18-24,60 days,Website,0.06,18985,4.61,Miami,English,328,8840,5,Fashionistas,20-05-2021,3.80%,39.63,"(140,'DataTech Solutions','Email','Men 18-24','60 days','Website',0.06,18985,4.61,'Miami','English',328,8840,5,'Fashionistas','2021-05-20',0.0380296610169491,39.6267409470752)"
141,NexGen Systems,Email,Women 25-34,15 days,Email,0.08,5599,3.43,Houston,English,571,2404,3,Fashionistas,21-05-2021,3.71%,57.88,"(141,'NexGen Systems','Email','Women 25-34','15 days','Email',0.08,5599,3.43,'Houston','English',571,2404,3,'Fashionistas','2021-05-21',0.03710407239819,57.8810975609756)"
142,Innovate Industries,Influencer,All Ages,45 days,Google Ads,0.08,11952,3.48,Houston,English,845,5702,8,Health & Wellness,22-05-2021,23.75%,9.81,"(142,'Innovate Industries','Influencer','All Ages','45 days','Google Ads',0.08,11952,3.48,'Houston','English',845,5702,8,'Health & Wellness','2021-05-22',0.237520798668885,9.80560420315236)"
